ques_id,expression,disease,disease_type,ques_eng,refer_if,ques_hi,is_required,images
11,age >= 1 && age <= 216,16.Otitis Media,Child hood Diseases,"Does the child keep on rubbing the ear? In an infant, if there are no visible signs of ear discharge, ask parents is the child irritable or keeps on rubbing his/her ear?",Yes,"क्या बच्चा कान को रगड़ता रहता है? एक शिशु में, यदि कान के स्राव के कोई लक्षण दिखाई नहीं देते हैं, तो माता-पिता से पूछें कि क्या बच्चा चिड़चिड़ा है या उसके कान को रगड़ता रहता है?",Yes,
12,age >= 1 && age <= 216,16.Otitis Media,Child hood Diseases,Is there a feeling of blocked ear?,Yes,क्या अवरुद्ध कान की भावना है?,Yes,
13,age >= 1 && age <= 216,16.Otitis Media,Child hood Diseases,Does the child complain of reduced hearing?,Yes,क्या बच्चा कम सुनवाई की शिकायत करता है?,Yes,
14,age >= 1 && age <= 216,16.Otitis Media,Child hood Diseases,Is there pain behind the ears?,Yes,क्या कान के पीछे दर्द है?,Yes,
15,age >= 1 && age <= 216,16.Otitis Media,Child hood Diseases,Does the child have frequent throat infections?,Yes,क्या बच्चे को बार-बार गले में संक्रमण होता है?,Yes,
16,age >= 1 && age <= 216,14.Goitre ,Deficiencies,"Increased size or presence of visible swelling in the neck (in a normal child, the gland is non-palpable). Child is observed sideways. In case of suspicion ask the child to swallow and see the gland movement.",Yes,"गर्दन में दृश्यमान सूजन की वृद्धि हुई आकार या उपस्थिति (एक सामान्य बच्चे में, ग्रंथि गैर-स्पष्ट है)। बाल बग़ल में मनाया जाता है। संदेह के मामले में बच्चे को ग्रंथि आंदोलन को निगलने और देखने के लिए कहें।",Yes,"1.png,2.png,3.png"
17,age >= 1 && age <= 216,14.Goitre ,Deficiencies,Is the swelling painless (usually Goiter is painless)?,Yes,क्या सूजन दर्द रहित (आमतौर पर गोइटर दर्द रहित) है?,Yes,
18,age >= 1 && age <= 216,14.Goitre ,Deficiencies,Is there problem during swallowing?,Yes,क्या निगलने के दौरान समस्या है?,Yes,
19,age >= 1 && age <= 216,14.Goitre ,Deficiencies,Does the child have cough?,Yes,क्या बच्चे को खांसी है?,Yes,
20,age >= 1 && age <= 216,1.Neural tube defect,Defects at Birth,Swelling in Back or head?,Yes,सूजन कहाँ है? पीछे या सिर?,Yes,"1.png,2.png,3.png"
21,age >= 1 && age <= 216,1.Neural tube defect,Defects at Birth,Is there any discharge from the back?,Yes,क्या पीछे से कोई डिस्चार्ज होता है?,Yes,
22,age >= 1 && age <= 216,1.Neural tube defect,Defects at Birth,Can the child not move both the lower legs?,Yes,क्या बच्चा दोनों निचले पैरों को हिला सकता है?,Yes,
23,age >= 1 && age <= 216,1.Neural tube defect,Defects at Birth,Is there constant leakage of stools through the anal opening?,Yes,गुदा खोलने के माध्यम से मल का लगातार रिसाव होता है?,Yes,
24,age >= 1 && age <= 168,18.Reactive airway disease,Child hood Diseases,"Is child suffering from cough, cold and/or difficulty in breathing?",Yes,"क्या बच्चा खांसी, सर्दी और / या साँस लेने में कठिनाई से पीड़ित है? यदि हाँ, तो कब तक?",Yes,
25,age >= 1 && age <= 168,18.Reactive airway disease,Child hood Diseases,"Does the episode of cough, cold start after exposure to a triggering factor like dust, smoke, strong odor or perfume, stress, physical activity etc?",Yes,"क्या धूल, धुआं, तेज गंध या इत्र, तनाव, शारीरिक गतिविधि आदि जैसे ट्रिगरिंग कारक के संपर्क में आने के बाद खांसी, जुकाम शुरू हो जाता है?",Yes,
26,age >= 1 && age <= 168,18.Reactive airway disease,Child hood Diseases,Is there a family history of allergies?,Yes,क्या एलर्जी का पारिवारिक इतिहास है?,Yes,
27,age >= 1 && age <= 168,18.Reactive airway disease,Child hood Diseases,Decreased appetite/weight loss.,Yes,भूख में कमी / वजन में कमी।,Yes,
28,age >= 1 && age <= 168,18.Reactive airway disease,Child hood Diseases,Running nose,Yes,बहता नाक,Yes,
29,age >= 1 && age <= 72,8.Congenital heart diseases,Defects at Birth,Rapid or troubled breathing (shortness of breath),Yes,तेजी से या परेशान श्वास (सांस की तकलीफ),Yes,
30,age >= 1 && age <= 72,8.Congenital heart diseases,Defects at Birth,"Sweating around the head, especially during feeding",Yes,"सिर के चारों ओर पसीना, विशेष रूप से खिलाने के दौरान",Yes,
31,(age >= 1 && age <= 72) || (age > 72 && age <= 216),8.Congenital heart diseases,Defects at Birth,"Bluish discoloration of skin, nails, tongue, lips (cyanosis)",Yes,"त्वचा, नाखून, जीभ, होंठों का नीलापन (सायनोसिस)",Yes,"1.jpeg,2.jpg"
32,(age >= 1 && age <= 72) || (age > 72 && age <= 216),8.Congenital heart diseases,Defects at Birth,Pale extremities,Yes,पीले छोर,Yes,
33,(age >= 1 && age <= 72) || (age > 72 && age <= 216),8.Congenital heart diseases,Defects at Birth,"Swelling or puffiness in the face, hands, feet, legs, or areas around the eyes.",Yes,"चेहरे, हाथ, पैर, पैर, या आंखों के आसपास के क्षेत्रों में सूजन या सूजन।",Yes,
34,(age >= 1 && age <= 72) || (age > 72 && age <= 216),8.Congenital heart diseases,Defects at Birth,History of a sibling with heart disease,Yes,हृदय रोग के साथ एक भाई का इतिहास,Yes,
35,age >= 1 && age <= 72,8.Congenital heart diseases,Defects at Birth,Not able to suck mothers breast due to breathlessness. Typical feeding cycle suck-rest-suck.,Yes,सांस फूलने के कारण माताओं के स्तन चूसने में सक्षम नहीं। विशिष्ट खिला चक्र चूसना-बाकी-चूसना।,Yes,
36,(age >= 1 && age <= 72) || (age > 72 && age <= 216),8.Congenital heart diseases,Defects at Birth,Recurrent chest infections,Yes,आवर्तक छाती में संक्रमण,Yes,
37,age >= 1 && age <= 72,8.Congenital heart diseases,Defects at Birth,Breathlessness on reduced physical activity like playing,Yes,कम शारीरिक गतिविधि जैसे सांस लेने पर सांस फूलना,Yes,
38,(age >= 1 && age <= 72) || (age > 72 && age <= 216),8.Congenital heart diseases,Defects at Birth,History of fainting,Yes,बेहोशी का इतिहास,Yes,
39,age > 72 && age <= 216,8.Congenital heart diseases,Defects at Birth,Usually asymptomatic except in acute condition,Yes,आम तौर पर तीव्र स्थिति को छोड़कर स्पर्शोन्मुख,Yes,
40,age > 72 && age <= 216,8.Congenital heart diseases,Defects at Birth,History of rapid or troubled breathing (shortness of breath) during exertion,Yes,थकावट के दौरान तेजी से या परेशान श्वास (सांस की तकलीफ) का इतिहास,Yes,
41,age > 72 && age <= 216,8.Congenital heart diseases,Defects at Birth,Poor growth as compared to other students in his/her class,Yes,उसकी कक्षा में अन्य छात्रों की तुलना में खराब वृद्धि,Yes,
42,age > 72 && age <= 216,8.Congenital heart diseases,Defects at Birth,History of any joint pain especially fleeting joint pain involving the larger joints,Yes,किसी भी जोड़ों के दर्द का इतिहास विशेष रूप से बड़े जोड़ों को मिलाकर होने वाले जोड़ों के दर्द को दूर करता है,Yes,
43,age > 72 && age <= 216,8.Congenital heart diseases,Defects at Birth,"History of any palpitations, breathlessness during brisk walking, climbing of stairs or running during sports",Yes,"किसी भी धड़कन का इतिहास, तेज चलने के दौरान सांस फूलना, सीढ़ियों पर चढ़ना या खेल के दौरान दौड़ना",Yes,
44,age > 72 && age <= 216,8.Congenital heart diseases,Defects at Birth,Breathlessness on physical activity like playing,Yes,खेलने जैसी शारीरिक गतिविधि पर सांस फूलना,Yes,
45,age >= 60 && age <= 180,17.Rheumatic heart disease ,Child hood Diseases,Ask for history throat infection (pharyngitis),Yes,इतिहास गले के संक्रमण (ग्रसनीशोथ) के लिए पूछें,Yes,
46,age >= 60 && age <= 180,17.Rheumatic heart disease ,Child hood Diseases,"Is there history of fever, headache, pain in chest, abdominal pain, nausea and vomiting?",Yes,"क्या बुखार, सिरदर्द, छाती में दर्द, पेट में दर्द, मतली और उल्टी का इतिहास है?",Yes,
47,age >= 60 && age <= 180,17.Rheumatic heart disease ,Child hood Diseases,"Is there history of pain and swelling in the joints (especially large joints, fleeting joint pains)?",Yes,"क्या जोड़ों में दर्द और सूजन का इतिहास है (विशेषकर बड़े जोड़ों, क्षणभंगुर जोड़ों में दर्द)?",Yes,
48,age >= 60 && age <= 180,17.Rheumatic heart disease ,Child hood Diseases,Are there any trembling/ flinging movements in the hands?,Yes,क्या हाथों में कोई कंपकंपी / छटपटाहट है?,Yes,
49,age >= 60 && age <= 180,17.Rheumatic heart disease ,Child hood Diseases,"Ask for any palpitations, breathlessness on exertion, swelling (oedema), fainting spells (syncope)",Yes,"किसी भी धड़कन के लिए पूछें, सांस लेने में तकलीफ, सूजन (एडिमा), बेहोशी के मंत्र (सिंकोप)",Yes,
50,age >= 60 && age <= 180,17.Rheumatic heart disease ,Child hood Diseases,Redness at the back of throat (oral mucosa),Yes,गले के पीछे लाली (मौखिक श्लेष्मा),Yes,
51,age >= 60 && age <= 180,17.Rheumatic heart disease ,Child hood Diseases,"Red, raised, lattice-like rash, usually on the chest, back, and abdomen",Yes,"लाल, उठा हुआ, जाली जैसा दाने, आमतौर पर छाती, पीठ और पेट पर",Yes,
52,age >= 60 && age <= 180,17.Rheumatic heart disease ,Child hood Diseases,"Uncontrolled movements of arms, legs, or facial muscles",Yes,"हाथ, पैर या चेहरे की मांसपेशियों के अनियंत्रित आंदोलनों",Yes,
53,age >= 60 && age <= 180,17.Rheumatic heart disease ,Child hood Diseases,"Swollen, tender, red and extremely painful joints",Yes,"सूजे हुए, कोमल, लाल और बेहद दर्दनाक जोड़",Yes,
54,age >= 60 && age <= 180,17.Rheumatic heart disease ,Child hood Diseases,Weakness and shortness of breath,Yes,कमजोरी और सांस की तकलीफ,Yes,
55,age >= 60 && age <= 180,17.Rheumatic heart disease ,Child hood Diseases,Nodules over swollen joints,Yes,सूजन वाले जोड़ों पर नोड्यूल,Yes,
56,age >= 60 && age <= 180,17.Rheumatic heart disease ,Child hood Diseases,Fever,Yes,बुखार,Yes,
57,age >= 1 && age <= 216,4. Talipes (club foot) ,Defects at Birth,"Abnormal shape of the foot, Inward turning of the front of the foot",Yes,पैर का असामान्य आकार पैर के सामने की ओर मुड़ना,Yes,"1.png,2.png,3.png"
58,age >= 1 && age <= 216,4. Talipes (club foot) ,Defects at Birth,Downward-pointing toes,Yes,नीचे की ओर इशारा करते हुए पैर की उंगलियों,Yes,
59,age >= 1 && age <= 216,4. Talipes (club foot) ,Defects at Birth,Resting of the foot on its outer border,Yes,अपने बाहरी सीमा पर पैर को आराम करना,Yes,
60,age >= 1 && age <= 216,4. Talipes (club foot) ,Defects at Birth,Rigidity and other changes in the movements of the foot,Yes,पैर की चाल में कठोरता और अन्य परिवर्तन,Yes,
61,age >= 1 && age <= 216,4. Talipes (club foot) ,Defects at Birth,Toes cannot touch shin of same leg due to tightened Achilles tendon,Yes,तंग एच्लीस कण्डरा के कारण पैर एक ही पैर की पिंडली को छू नहीं सकते,Yes,
62,age >= 1 && age <= 216,5.Developmental dysplasia of the hip,Defects at Birth,Any shortening of leg,Yes,पैर की कोई कमी,Yes,7.jpeg
63,age >= 1 && age <= 216,5.Developmental dysplasia of the hip,Defects at Birth,Examine for asymmetrical thigh and gluteal (buttocks) skin folds in lying and standing positions.,Yes,झूठ और खड़े होने की स्थिति में विषम जांघ और लस (नितंब) त्वचा की परतों की जांच करें।,Yes,"2.jpeg,3.jpeg"
64,age >= 1 && age <= 216,5.Developmental dysplasia of the hip,Defects at Birth,"Measuring the length of leg at level of knee joint in lying down, with hip joint and knee joint flexed. -With infant on his back on a firm flat surface, pelvis stabilized and hips flexed to 90° with knees in flexion, the vertical level of knees is assessed.",Yes,"लेटने में घुटने के जोड़ के स्तर पर पैर की लंबाई को मापना, कूल्हे के जोड़ और घुटने के संयुक्त फ्लेक्स के साथ। -इसके साथ शिशु को उसकी पीठ पर एक सपाट सपाट सतह पर, श्रोणि को स्थिर और कूल्हों को फ्लेक्सियन में घुटनों के साथ 90 ° तक फ्लेक्स किया जाता है, घुटनों के ऊर्ध्वाधर स्तर का आकलन किया जाता है।",Yes,"4.jpeg,5.jpeg"
65,Age >= 3 && age <= 216,5.Developmental dysplasia of the hip,Defects at Birth,Examine the child in standing position for spinal curves. (Late Sign) Picture of a baby with swayback - note the curve in the lower back (yellow line),Yes,स्पाइनल कर्व्स के लिए खड़े होने की स्थिति में बच्चे की जांच करें। (लेट साइन) स्वैब के साथ एक बच्चे की तस्वीर - पीठ के निचले हिस्से (पीली रेखा) में वक्र पर ध्यान दें,Yes,6.jpeg
66,Age >= 3 && age <= 216,5.Developmental dysplasia of the hip,Defects at Birth,"Making the child walk for toe walking, limping or duck like walking.(Late Sign)",Yes,"बच्चे को पैर की अंगुली चलने के लिए चलना, लंगड़ा कर चलना या चलना पसंद है। (लेट साइन)",Yes,
67,age >= 1 && age <= 216,2.Downs Syndrome,Defects at Birth,The head may be smaller than normal and abnormally shaped.,Yes,सिर सामान्य और असामान्य रूप से आकार से छोटा हो सकता है।,Yes,"7.jpeg,8.jpeg,1.jpeg"
68,age >= 1 && age <= 216,2.Downs Syndrome,Defects at Birth,Upward slanting eyes and inner corner of the eyes may be rounded instead of pointed.,Yes,ऊपर की ओर झुकी हुई आँखें और आँखों के अंदरूनी कोने नुकीले की बजाय गोल हो सकते हैं।,Yes,"7.jpeg,8.jpeg,1.jpeg"
69,age >= 1 && age <= 216,2.Downs Syndrome,Defects at Birth,"Small ears, Flattened nose, Small mouth or Excess skin at the nape of the neck",Yes,छोटे कान,Yes,"7.jpeg,8.jpeg,1.jpeg"
70,age >= 1 && age <= 216,2.Downs Syndrome,Defects at Birth,Single crease in the palm of the hand (Simian Crease),Yes,हाथ की हथेली में सिंगल क्रीज (सिमीयन क्रीज),Yes,"9.jpeg,3.jpeg"
71,age >= 1 && age <= 216,2.Downs Syndrome,Defects at Birth,"Wide, short hands with short fingers",Yes,"छोटी उंगलियों के साथ चौड़े, छोटे हाथ",Yes,10.jpeg
72,age >= 1 && age <= 216,2.Downs Syndrome,Defects at Birth,Cleft in feet (Sandal shaped deformity),Yes,पैरों में दरार (चप्पल के आकार की विकृति),Yes,4.jpeg
73,age >= 1 && age <= 216,2.Downs Syndrome,Defects at Birth,Child will have both the legs extended and falling passively when laid on his/her back like a frog and the hands also helplessly on the bed with very little spontaneous movements of the limbs.,Yes,बच्चे के दोनों पैर विस्तारित होंगे और गिरने पर निष्क्रिय रूप से उसकी पीठ पर एक मेंढक की तरह और हाथों को भी बिस्तर पर असहाय रूप से अंगों के बहुत कम सहज आंदोलनों के साथ रखा जाएगा।,Yes,6.jpeg
74,age >= 2 && age <= 4,21.Vision impairment,Developmental delays and Disabilities,Does the child make eye contact? (Focus their eyes on the eyes of a care giver) (V),No,क्या बच्चा आंख से संपर्क करता है? (एक देखभाल दाता की आँखों पर ध्यान केंद्रित) (वी),Yes,
75,age > 4 && age <= 6,21.Vision impairment,Developmental delays and Disabilities,Does the child follow an object with his or her eyes? (without any visible squint) (V),No,क्या बच्चा अपनी आँखों से किसी वस्तु का अनुसरण करता है? (बिना किसी दृश्य के),Yes,
76,age > 6 && age <= 9,21.Vision impairment,Developmental delays and Disabilities,Does your baby watch TV or any toy without tilting his/her head? (V),No,क्या आपका बच्चा अपने सिर को झुकाए बिना टीवी या कोई खिलौना देखता है? (वी),Yes,
77,age > 9 && age <= 12,21.Vision impairment,Developmental delays and Disabilities,Does the child avoid bumping into objects while moving? (V),No,क्या बच्चा हिलते समय वस्तुओं से टकराता है? (वी),Yes,
78,age > 30 && age <= 72,21.Vision impairment,Developmental delays and Disabilities,Does your child have difficulty in seeing either during day/night ? (without spectacles) (V),No,क्या आपके बच्चे को दिन / रात में देखने में कठिनाई होती है? (चश्मे के बिना) (वी),Yes,
79,(age > 72 && age <= 120) || (age > 120 && age <= 216),21.Vision impairment,Developmental delays and Disabilities,"Does the child have difficulty in seeing, either during day or night? (without spectacles) (V)",Yes,"क्या बच्चे को देखने में कठिनाई होती है, या तो दिन या रात के दौरान? (चश्मे के बिना) (वी)",Yes,
80,age >= 2 && age <= 4,22.Hearing Impairment,Developmental delays and Disabilities,Does the child responds to your voice or startles with loud sounds or becomes alert to new sound by quietening or smiling? (H),No,क्या बच्चा आपकी आवाज़ पर प्रतिक्रिया करता है या ज़ोर से आवाज़ करता है या शांत होकर या मुस्कुराकर नई आवाज़ के प्रति सतर्क हो जाता है? (एच),Yes,
81,age > 4 && age <= 6,22.Hearing Impairment,Developmental delays and Disabilities,Does the child respond to mother’s speech by looking directly at her face? (H),No,क्या बच्चा सीधे अपने चेहरे को देखकर माँ के भाषण का जवाब देता है? (एच),Yes,
82,age > 6 && age <= 9,22.Hearing Impairment,Developmental delays and Disabilities,Does the child locate source of sounds? I.e. turns his head or eyes if you whisper from behind? (H),No,क्या बच्चा ध्वनियों के स्रोत का पता लगाता है? अर्थात। यदि आप पीछे से फुसफुसाए तो उसका सिर या आंखें मुड़ जाती हैं? (एच),Yes,
83,age > 30 && age <= 72,22.Hearing Impairment,Developmental delays and Disabilities,Does your child have difficulty in hearing? (without hearing aid? (H),No,क्या आपके बच्चे को सुनने में कठिनाई होती है? (बिना श्रवण सहायता के (एच),Yes,
84,(age > 72 && age <= 120) || (age > 120 && age <= 216),22.Hearing Impairment,Developmental delays and Disabilities,Does the child have difficulty in hearing? (without hearing aid)(H),Yes,क्या बच्चे को सुनने में कठिनाई होती है? (हियरिंग एड के बिना) (एच),Yes,
85,age >= 2 && age <= 4,26.Language  delay,Developmental delays and Disabilities,Does the child suck and swallow well during feeding i.e. without any choking? (Sp),No,क्या बच्चा दूध पिलाने के दौरान अच्छी तरह से चूसता और निगलता है यानी बिना किसी कोड़े के? (सपा),Yes,
86,age > 4 && age <= 6,26.Language  delay,Developmental delays and Disabilities,Does the child laugh aloud or make squealing sounds? (Sp),No,क्या बच्चा जोर से हंसता है या चिल्लाने की आवाज़ करता है? (सपा),Yes,
87,age > 6 && age <= 9,26.Language  delay,Developmental delays and Disabilities,Does the child utter consonant sounds like “p” “b” “m”? (Sp),No,"क्या बच्चे का व्यंजन ""p"" ""b"" ""m"" जैसा लगता है? (सपा)",Yes,
88,age > 9 && age <= 12,26.Language  delay,Developmental delays and Disabilities,"Does the child babble example- “ba”, “ba”, “da”, “ma”, “ma”? (Sp)",No,"क्या बच्चा बच्चा उदाहरण देता है- ""बा"", ""बा"", ""दा"", ""मा"", ""मा""? (सपा)",Yes,
89,age > 12 && age <= 15,26.Language  delay,Developmental delays and Disabilities,"Does the child say one meaning-ful word clearly like mama, dada? (Sp)",No,"क्या बच्चा एक अर्थ-पूर्ण शब्द स्पष्ट रूप से मामा, दादा की तरह कहता है? (सपा)",Yes,
90,age > 15 && age <= 18,26.Language  delay,Developmental delays and Disabilities,"Does the child say at least two words other than mama or dada like dog, cat, and ball even if it is not clear? (Sp)",No,"क्या बच्चा मामा या दादा के अलावा कम से कम दो शब्द कहता है जैसे कि कुत्ते, बिल्ली और गेंद भले ही स्पष्ट न हो? (सपा)",Yes,
91,age > 18 && age <= 24,26.Language  delay,Developmental delays and Disabilities,Does the child say at least five words consistently even if not clear? (Sp),No,क्या बच्चा स्पष्ट नहीं होने पर भी कम से कम पांच शब्द लगातार कहता है? (सपा),Yes,
92,age > 24 && age <= 30,26.Language  delay,Developmental delays and Disabilities,"Does the child join 2 words together like mama-milk, car-go? (2 words phrases) (Sp)",No,"क्या बच्चा मामा-दूध, कार-गो जैसे 2 शब्दों को एक साथ जोड़ता है? (2 शब्द वाक्यांश) (स्प)",Yes,
93,age > 30 && age <= 72,26.Language  delay,Developmental delays and Disabilities,Does the child have difficulty in speaking (as compared to other children of his/her age)? (Sp),No,क्या बच्चे को बोलने में कठिनाई होती है (उसकी उम्र के अन्य बच्चों की तुलना में)? (सपा),Yes,
94,age > 30 && age <= 72,26.Language  delay,Developmental delays and Disabilities,Is your child’s speech in any way different from other children of his/her age? (Sp),No,क्या आपके बच्चे का भाषण किसी भी तरह से उसकी / उसकी उम्र के अन्य बच्चों से अलग है? (सपा),Yes,
95,(age > 72 && age <= 120) || (age > 120 && age <= 216),26.Language  delay,Developmental delays and Disabilities,Does the child have any difficulty in speaking as compared to other children of his/her age? (Sp),Yes,क्या बच्चे को अपनी उम्र के अन्य बच्चों की तुलना में बोलने में कोई कठिनाई होती है? (सपा),Yes,
96,age >= 2 && age <= 4,24.Motor delay ,Developmental delays and Disabilities,Does the child move both arms and both legs freely & equally when awake or when excited? (GM),No,क्या बच्चा जागते समय या उत्तेजित होने पर दोनों हाथों और दोनों पैरों को स्वतंत्र और समान रूप से हिलाता है? (जीएम),Yes,
97,age >= 2 && age <= 4,24.Motor delay ,Developmental delays and Disabilities,Does the child raise his or her head momentarily when lying face down? (GM),No,क्या चेहरा लेट जाने पर बच्चा पल-पल अपना सिर उठाता है? (जीएम),Yes,
98,age >= 2 && age <= 4,24.Motor delay ,Developmental delays and Disabilities,Does the child keep his hands open and relaxed most of the time? (By 3 months) (FM),No,क्या बच्चा ज्यादातर समय अपने हाथों को खुला और तनावमुक्त रखता है? (3 महीने तक) (एफएम),Yes,
99,age > 4 && age <= 6,24.Motor delay ,Developmental delays and Disabilities,"Does the child hold head erect in sitting position without bobbing i.e. hold her head straight? (while sitting with support, head is held steadily) Refer if head flops or falls back on any one side when child is pulled to sitting position (GM)",No,"क्या बच्चा बबिंग के बिना बैठने की स्थिति में सिर सीधा रखता है यानी उसके सिर को सीधा रखता है? (समर्थन के साथ बैठने के दौरान, सिर को स्थिर रूप से रखा जाता है) यदि बच्चा फ्लॉप हो जाता है या किसी एक तरफ वापस गिर जाता है जब बच्चे को बैठने की स्थिति में खींच लिया जाता है (GM)",Yes,
100,age > 4 && age <= 6,24.Motor delay ,Developmental delays and Disabilities,Does the child reach out for an object persistently? (should use either hands but refer if prefer-ence for one hand only) Observe that grasp of the object is in the ulnar side of palm and there is lack of thumb involvement?,No,क्या बच्चा किसी वस्तु के लिए लगातार पहुंचता है? (दोनों हाथों का उपयोग करना चाहिए लेकिन यदि केवल एक हाथ के लिए पसंद करते हैं तो देखें) निरीक्षण करें कि वस्तु की मुट्ठी हथेली के निचले हिस्से में है और अंगूठे की भागीदारी का अभाव है?,Yes,
101,age > 6 && age <= 9,24.Motor delay ,Developmental delays and Disabilities,Does the child roll over or turn over in either direction? (GM),No,क्या बच्चा किसी भी दिशा में लुढ़कता या पलटता है? (जीएम),Yes,
102,age > 6 && age <= 9,24.Motor delay ,Developmental delays and Disabilities,Does the child grasp a small object by using his whole hand? (secures it in the center of palm) (FM),No,क्या बच्चा अपने पूरे हाथ का उपयोग करके किसी छोटी वस्तु को पकड़ लेता है? (हथेली के केंद्र में इसे सुरक्षित करता है) (FM),Yes,
103,age > 9 && age <= 12,24.Motor delay ,Developmental delays and Disabilities,Does the child sit without any support? (GM),No,क्या बच्चा बिना किसी सहारे के बैठता है? (जीएम),Yes,
104,age > 9 && age <= 12,24.Motor delay ,Developmental delays and Disabilities,Does the child transfer object from hand to hand? (FM),No,क्या बच्चा हाथ से हाथ में वस्तु स्थानांतरित करता है? (एफएम),Yes,
105,age > 12 && age <= 15,24.Motor delay ,Developmental delays and Disabilities,Does the child crawl on hands and knees? (GM),No,क्या बच्चा हाथों और घुटनों पर क्रॉल करता है? (जीएम),Yes,
106,age > 12 && age <= 15,24.Motor delay ,Developmental delays and Disabilities,"Does the child pickup small objects using thumb and index finger like peas, raisins (kismis) (FM)",No,"क्या बच्चा मटर, किशमिश (किसमिस) (एफएम) जैसी अंगूठे और तर्जनी का उपयोग करके छोटी वस्तुओं को उठाता है",Yes,
107,age > 15 && age <= 18,24.Motor delay ,Developmental delays and Disabilities,Does the child walk alone (GM),No,क्या बच्चा अकेला चलता है (जीएम),Yes,
108,age > 15 && age <= 18,24.Motor delay ,Developmental delays and Disabilities,Does the child play by putting small things or objects into a container? (Cup or Katori) (FM),No,क्या बच्चा एक कंटेनर में छोटी चीजों या वस्तुओं को रखकर खेलता है? (कप या कटोरी) (एफएम),Yes,
109,age > 15 && age <= 18,24.Motor delay ,Developmental delays and Disabilities,Does the child make gestures on verbal request like pointing to objects? (pointing the index finger when asked “Where is the ball” (FM),No,"क्या बच्चा मौखिक अनुरोध पर इशारों को वस्तुओं की ओर इशारा करता है? (इंडेक्स फिंगर को इंगित करते हुए जब पूछा गया कि ""गेंद कहां है"" (एफएम)",Yes,
110,age > 18 && age <= 24,24.Motor delay ,Developmental delays and Disabilities,Does the child walk steadily even while pulling a toy? (GM),No,क्या बच्चा खिलौना खींचते हुए भी लगातार चलता है? (जीएम),Yes,
111,age > 18 && age <= 24,24.Motor delay ,Developmental delays and Disabilities,Does the child scribble spontaneously (FM),No,क्या बच्चा अनायास (FM),Yes,
112,age > 24 && age <= 30,24.Motor delay ,Developmental delays and Disabilities,Does the child climb upstairs and downstairs? (GM),No,क्या बच्चा ऊपर और नीचे चढ़ता है? (जीएम),Yes,
113,age > 24 && age <= 30,24.Motor delay ,Developmental delays and Disabilities,Does the child feed self either with hand or spoon? (FM),No,क्या बच्चा स्वयं को हाथ या चम्मच से खिलाता है? (एफएम),Yes,
114,age > 30 && age <= 72,24.Motor delay ,Developmental delays and Disabilities,Does your child have stiffness or floppiness and/or reduced strength in his/her arms or legs? (GM),No,क्या आपके बच्चे में अकड़न या अकड़न है और / या उसकी बाहों या पैरों में ताकत कम हो गई है? (जीएम),Yes,
